,date,county,state,fips,cases
1079,2020-03-10,Oakland,Michigan,26125.0,1
1080,2020-03-10,Wayne,Michigan,26163.0,1
1259,2020-03-11,Oakland,Michigan,26125.0,1
1260,2020-03-11,Wayne,Michigan,26163.0,1
1477,2020-03-12,Ingham,Michigan,26065.0,1
1478,2020-03-12,Kent,Michigan,26081.0,3
1479,2020-03-12,Montcalm,Michigan,26117.0,1
1480,2020-03-12,Oakland,Michigan,26125.0,3
1481,2020-03-12,St. Clair,Michigan,26147.0,1
1482,2020-03-12,Washtenaw,Michigan,26161.0,2
1483,2020-03-12,Wayne,Michigan,26163.0,1
1756,2020-03-13,Bay,Michigan,26017.0,1
1757,2020-03-13,Charlevoix,Michigan,26029.0,1
1758,2020-03-13,Ingham,Michigan,26065.0,1
1759,2020-03-13,Kent,Michigan,26081.0,3
1760,2020-03-13,Leelanau,Michigan,26089.0,1
1761,2020-03-13,Macomb,Michigan,26099.0,1
1762,2020-03-13,Montcalm,Michigan,26117.0,1
1763,2020-03-13,Oakland,Michigan,26125.0,6
1764,2020-03-13,St. Clair,Michigan,26147.0,1
1765,2020-03-13,Washtenaw,Michigan,26161.0,3
1766,2020-03-13,Wayne,Michigan,26163.0,6
2099,2020-03-14,Bay,Michigan,26017.0,1
2100,2020-03-14,Charlevoix,Michigan,26029.0,1
2101,2020-03-14,Ingham,Michigan,26065.0,1
2102,2020-03-14,Kent,Michigan,26081.0,3
2103,2020-03-14,Leelanau,Michigan,26089.0,1
2104,2020-03-14,Macomb,Michigan,26099.0,2
2105,2020-03-14,Monroe,Michigan,26115.0,1
2106,2020-03-14,Montcalm,Michigan,26117.0,1
2107,2020-03-14,Oakland,Michigan,26125.0,9
2108,2020-03-14,St. Clair,Michigan,26147.0,1
2109,2020-03-14,Washtenaw,Michigan,26161.0,4
2110,2020-03-14,Wayne,Michigan,26163.0,8
2502,2020-03-15,Bay,Michigan,26017.0,1
2503,2020-03-15,Charlevoix,Michigan,26029.0,1
2504,2020-03-15,Ingham,Michigan,26065.0,1
2505,2020-03-15,Kent,Michigan,26081.0,5
2506,2020-03-15,Leelanau,Michigan,26089.0,1
