"","COUNTY","CTYNAME","AGEGRP","TOT_POP","TOT_MALE","TOT_FEMALE","WA_MALE","WA_FEMALE","BA_MALE","BA_FEMALE","AA_MALE","AA_FEMALE","IA_MALE","IA_FEMALE","NA_MALE","NA_FEMALE","H_MALE","H_FEMALE","TOM_MALE","TOM_FEMALE","TOT_WA","TOT_BA","TOT_AA","TOT_IA","TOT_NA","TOT_H","TOT_TOM"
"210",1,"Alcona",0,10405,5233,5172,5087,4987,24,33,10,32,36,39,4,3,88,79,72,78,10074,57,42,75,7,167,150
"227",1,"Alcona",17,509,262,247,261,243,0,0,0,1,0,1,0,0,1,2,1,2,504,0,1,1,0,3,3
"228",1,"Alcona",18,374,145,229,140,226,0,1,0,0,1,0,0,0,1,1,4,2,366,1,0,1,0,2,6
"438",3,"Alger",0,9108,5035,4073,4028,3682,652,13,21,20,204,202,0,1,86,70,130,155,7710,665,41,406,1,156,285
"455",3,"Alger",17,276,128,148,122,143,0,0,0,0,5,3,0,0,1,0,1,2,265,0,0,8,0,1,3
"456",3,"Alger",18,236,83,153,79,141,0,0,0,0,2,3,0,0,0,1,2,9,220,0,0,5,0,1,11
"666",5,"Allegan",0,118081,59000,59081,55998,56029,987,847,424,582,436,447,17,28,4537,4342,1138,1148,112027,1834,1006,883,45,8879,2286
"683",5,"Allegan",17,2159,953,1206,933,1158,6,19,0,6,8,5,2,0,16,16,4,18,2091,25,6,13,2,32,22
"684",5,"Allegan",18,2034,729,1305,713,1271,3,17,3,2,6,3,0,0,16,19,4,12,1984,20,5,9,0,35,16
"894",7,"Alpena",0,28405,14033,14372,13563,13947,82,73,93,75,83,95,8,4,234,192,204,178,27510,155,168,178,12,426,382
"911",7,"Alpena",17,859,386,473,379,471,1,0,1,0,2,1,0,0,4,4,3,1,850,1,1,3,0,8,4
"912",7,"Alpena",18,889,299,590,297,581,0,2,0,3,0,2,0,0,3,7,2,2,878,2,3,2,0,10,4
"1122",9,"Antrim",0,23324,11604,11720,11208,11301,45,45,36,41,143,151,7,8,298,287,165,174,22509,90,77,294,15,585,339
"1139",9,"Antrim",17,767,363,404,360,398,0,0,1,0,0,2,0,0,3,5,2,4,758,0,1,2,0,8,6
"1140",9,"Antrim",18,706,262,444,259,430,0,2,1,2,0,4,0,0,0,6,2,6,689,2,3,4,0,6,8
"1350",11,"Arenac",0,14883,7494,7389,7220,7072,40,32,14,32,96,106,3,5,154,149,121,142,14292,72,46,202,8,303,263
"1367",11,"Arenac",17,444,217,227,212,224,1,0,0,0,2,2,0,0,4,5,2,1,436,1,0,4,0,9,3
"1368",11,"Arenac",18,381,155,226,150,221,0,0,0,0,4,4,0,0,1,1,1,1,371,0,0,8,0,2,2
"1578",13,"Baraga",0,8209,4522,3687,3111,2861,632,21,15,18,585,587,1,1,75,61,178,199,5972,653,33,1172,2,136,377
"1595",13,"Baraga",17,208,92,116,81,104,1,0,0,0,9,10,0,0,0,1,1,2,185,1,0,19,0,1,3
"1596",13,"Baraga",18,215,81,134,76,125,0,1,0,0,3,7,0,0,0,0,2,1,201,1,0,10,0,0,3
"1806",15,"Barry",0,61550,31039,30511,29964,29464,236,167,154,176,171,195,8,6,983,950,506,503,59428,403,330,366,14,1933,1009
"1823",15,"Barry",17,1327,607,720,597,712,2,1,1,2,2,2,0,0,6,6,5,3,1309,3,3,4,0,12,8
"1824",15,"Barry",18,1146,388,758,383,750,0,1,0,6,1,0,0,1,6,7,4,0,1133,1,6,1,1,13,4
"2034",17,"Bay",0,103126,50627,52499,47811,49716,1050,841,268,357,324,339,7,9,2831,2849,1167,1237,97527,1891,625,663,16,5680,2404
"2051",17,"Bay",17,2603,1129,1474,1098,1448,16,8,2,4,6,6,0,0,18,24,7,8,2546,24,6,12,0,42,15
"2052",17,"Bay",18,2703,834,1869,814,1846,2,11,5,4,5,7,0,0,27,30,8,1,2660,13,9,12,0,57,9
"2262",19,"Benzie",0,17766,8864,8902,8484,8533,71,51,36,53,140,131,5,1,230,218,128,133,17017,122,89,271,6,448,261
"2279",19,"Benzie",17,579,267,312,264,305,1,1,0,0,1,4,0,0,4,2,1,2,569,2,0,5,0,6,3
"2280",19,"Benzie",18,532,227,305,222,294,0,3,1,2,3,4,0,0,6,4,1,2,516,3,3,7,0,10,3
"2490",21,"Berrien",0,153401,75042,78359,60174,62062,10748,11973,1552,1699,536,480,76,60,4542,4287,1956,2085,122236,22721,3251,1016,136,8829,4041
"2507",21,"Berrien",17,3822,1626,2196,1459,1946,136,205,18,23,5,5,0,0,28,38,8,17,3405,341,41,10,0,66,25
"2508",21,"Berrien",18,3941,1427,2514,1314,2262,92,207,15,14,2,7,2,1,24,39,2,23,3576,299,29,9,3,63,25
"2718",23,"Branch",0,43517,22524,20993,20886,20240,916,111,138,162,133,99,9,3,1196,1008,442,378,41126,1027,300,232,12,2204,820
"2735",23,"Branch",17,1008,426,582,411,573,2,1,1,0,3,4,0,0,6,6,9,4,984,3,1,7,0,12,13
"2736",23,"Branch",18,835,305,530,302,522,0,1,1,0,0,1,0,0,4,8,2,6,824,1,1,1,0,12,8
"2946",25,"Calhoun",0,134159,65760,68399,53371,55853,7538,7495,1889,2094,563,508,32,32,3740,3605,2367,2417,109224,15033,3983,1071,64,7345,4784
"2963",25,"Calhoun",17,2982,1258,1724,1125,1517,94,142,18,48,6,9,0,1,21,18,15,7,2642,236,66,15,1,39,22
"2964",25,"Calhoun",18,3104,1097,2007,998,1829,79,144,8,19,0,4,1,0,15,24,11,11,2827,223,27,4,1,39,22
"3174",27,"Cass",0,51787,26021,25766,23234,23221,1443,1248,161,240,295,333,22,11,1167,947,866,713,46455,2691,401,628,33,2114,1579
"3191",27,"Cass",17,1189,567,622,517,575,34,36,2,2,5,3,0,0,3,3,9,6,1092,70,4,8,0,6,15
"3192",27,"Cass",18,995,356,639,312,585,24,34,2,3,4,4,1,0,7,11,13,13,897,58,5,8,1,18,26
