,COUNTYFP,NEVER,RARELY,SOMETIMES,FREQUENTLY,ALWAYS,county,state
1231,26001,0.065,0.046,0.133,0.18,0.5760000000000001,Alcona,Michigan
1232,26003,0.025,0.034,0.11800000000000001,0.22899999999999998,0.595,Alger,Michigan
1233,26005,0.05,0.035,0.133,0.28300000000000003,0.5,Allegan,Michigan
1234,26007,0.025,0.04,0.14400000000000002,0.18,0.612,Alpena,Michigan
1235,26009,0.027000000000000003,0.042,0.08800000000000001,0.218,0.625,Antrim,Michigan
1236,26011,0.052000000000000005,0.136,0.076,0.252,0.484,Arenac,Michigan
1237,26013,0.012,0.063,0.109,0.257,0.5579999999999999,Baraga,Michigan
1238,26015,0.043,0.121,0.121,0.21100000000000002,0.504,Barry,Michigan
1239,26017,0.013999999999999999,0.055,0.10300000000000001,0.20199999999999999,0.627,Bay,Michigan
1240,26019,0.01,0.049,0.062,0.16399999999999998,0.715,Benzie,Michigan
1241,26021,0.039,0.037000000000000005,0.122,0.247,0.555,Berrien,Michigan
1242,26023,0.07200000000000001,0.091,0.205,0.23399999999999999,0.39899999999999997,Branch,Michigan
1243,26025,0.063,0.121,0.078,0.17800000000000002,0.5589999999999999,Calhoun,Michigan
1244,26027,0.046,0.076,0.12300000000000001,0.27399999999999997,0.48,Cass,Michigan
1245,26029,0.027000000000000003,0.057,0.085,0.205,0.626,Charlevoix,Michigan
1246,26031,0.027000000000000003,0.052000000000000005,0.086,0.252,0.584,Cheboygan,Michigan
1247,26033,0.03,0.022000000000000002,0.068,0.287,0.593,Chippewa,Michigan
1248,26035,0.05,0.026000000000000002,0.102,0.308,0.514,Clare,Michigan
1249,26037,0.033,0.055999999999999994,0.046,0.263,0.603,Clinton,Michigan
1250,26039,0.043,0.05,0.061,0.18100000000000002,0.6659999999999999,Crawford,Michigan
1251,26041,0.057999999999999996,0.023,0.17,0.217,0.532,Delta,Michigan
1252,26043,0.043,0.065,0.127,0.249,0.516,Dickinson,Michigan
1253,26045,0.047,0.039,0.147,0.247,0.52,Eaton,Michigan
1254,26047,0.025,0.062,0.075,0.21899999999999997,0.618,Emmet,Michigan
1255,26049,0.032,0.043,0.10400000000000001,0.28800000000000003,0.5329999999999999,Genesee,Michigan
1256,26051,0.025,0.024,0.109,0.33799999999999997,0.503,Gladwin,Michigan
1257,26053,0.039,0.064,0.139,0.257,0.501,Gogebic,Michigan
1258,26055,0.004,0.040999999999999995,0.08199999999999999,0.2,0.672,Grand Traverse,Michigan
1259,26057,0.057,0.07400000000000001,0.105,0.16899999999999998,0.596,Gratiot,Michigan
1260,26059,0.135,0.075,0.11900000000000001,0.247,0.424,Hillsdale,Michigan
1261,26061,0.008,0.078,0.129,0.281,0.505,Houghton,Michigan
