,COUNTYFP,NEVER,RARELY,SOMETIMES,FREQUENTLY,ALWAYS,county,state
0,1001,0.053,0.07400000000000001,0.134,0.295,0.444,Autauga,Alabama
1,1003,0.083,0.059000000000000004,0.098,0.32299999999999995,0.436,Baldwin,Alabama
2,1005,0.067,0.121,0.12,0.201,0.491,Barbour,Alabama
3,1007,0.02,0.034,0.096,0.278,0.5720000000000001,Bibb,Alabama
4,1009,0.053,0.114,0.18,0.19399999999999998,0.45899999999999996,Blount,Alabama
5,1011,0.031,0.04,0.14400000000000002,0.28600000000000003,0.5,Bullock,Alabama
6,1013,0.102,0.053,0.257,0.13699999999999998,0.451,Butler,Alabama
7,1015,0.152,0.10800000000000001,0.13,0.16699999999999998,0.442,Calhoun,Alabama
8,1017,0.11699999999999999,0.037000000000000005,0.15,0.136,0.56,Chambers,Alabama
9,1019,0.135,0.027000000000000003,0.161,0.158,0.52,Cherokee,Alabama
10,1021,0.06,0.07,0.057999999999999996,0.19399999999999998,0.618,Chilton,Alabama
11,1023,0.049,0.038,0.126,0.21899999999999997,0.568,Choctaw,Alabama
12,1025,0.049,0.08800000000000001,0.16399999999999998,0.268,0.43,Clarke,Alabama
13,1027,0.14800000000000002,0.158,0.195,0.16899999999999998,0.32899999999999996,Clay,Alabama
14,1029,0.151,0.125,0.138,0.217,0.368,Cleburne,Alabama
15,1031,0.10099999999999999,0.152,0.094,0.18600000000000003,0.466,Coffee,Alabama
16,1033,0.08199999999999999,0.096,0.152,0.159,0.51,Colbert,Alabama
17,1035,0.099,0.052000000000000005,0.259,0.192,0.39899999999999997,Conecuh,Alabama
18,1037,0.055,0.131,0.16699999999999998,0.263,0.384,Coosa,Alabama
19,1039,0.187,0.128,0.129,0.201,0.35600000000000004,Covington,Alabama
20,1041,0.06,0.091,0.19899999999999998,0.233,0.41600000000000004,Crenshaw,Alabama
21,1043,0.13,0.024,0.249,0.217,0.379,Cullman,Alabama
22,1045,0.08900000000000001,0.113,0.11800000000000001,0.22,0.46,Dale,Alabama
23,1047,0.095,0.1,0.159,0.122,0.524,Dallas,Alabama
24,1049,0.084,0.051,0.106,0.179,0.58,DeKalb,Alabama
25,1051,0.042,0.095,0.127,0.252,0.485,Elmore,Alabama
26,1053,0.114,0.026000000000000002,0.188,0.285,0.387,Escambia,Alabama
27,1055,0.096,0.10300000000000001,0.17800000000000002,0.122,0.501,Etowah,Alabama
28,1057,0.138,0.048,0.151,0.233,0.429,Fayette,Alabama
29,1059,0.065,0.071,0.223,0.156,0.484,Franklin,Alabama
30,1061,0.17600000000000002,0.131,0.08900000000000001,0.158,0.445,Geneva,Alabama
31,1063,0.03,0.053,0.127,0.16699999999999998,0.623,Greene,Alabama
32,1065,0.026000000000000002,0.061,0.084,0.191,0.639,Hale,Alabama
33,1067,0.066,0.068,0.17,0.258,0.43799999999999994,Henry,Alabama
34,1069,0.085,0.079,0.135,0.268,0.433,Houston,Alabama
35,1071,0.092,0.08900000000000001,0.11,0.249,0.46,Jackson,Alabama
36,1073,0.049,0.037000000000000005,0.107,0.179,0.628,Jefferson,Alabama
37,1075,0.107,0.045,0.132,0.18899999999999997,0.527,Lamar,Alabama
38,1077,0.09300000000000001,0.11900000000000001,0.141,0.179,0.469,Lauderdale,Alabama
39,1079,0.162,0.08,0.08800000000000001,0.251,0.419,Lawrence,Alabama
40,1081,0.053,0.064,0.138,0.183,0.562,Lee,Alabama
41,1083,0.102,0.034,0.133,0.336,0.395,Limestone,Alabama
42,1085,0.12,0.073,0.145,0.19899999999999998,0.46399999999999997,Lowndes,Alabama
43,1087,0.008,0.033,0.24100000000000002,0.172,0.545,Macon,Alabama
44,1089,0.062,0.05,0.12300000000000001,0.177,0.589,Madison,Alabama
45,1091,0.033,0.151,0.11800000000000001,0.18600000000000003,0.512,Marengo,Alabama
46,1093,0.129,0.064,0.24600000000000002,0.207,0.353,Marion,Alabama
47,1095,0.075,0.064,0.129,0.253,0.479,Marshall,Alabama
48,1097,0.077,0.07,0.102,0.244,0.506,Mobile,Alabama
49,1099,0.11199999999999999,0.040999999999999995,0.182,0.28800000000000003,0.37799999999999995,Monroe,Alabama
50,1101,0.055999999999999994,0.095,0.12300000000000001,0.212,0.513,Montgomery,Alabama
51,1103,0.078,0.077,0.08199999999999999,0.304,0.45899999999999996,Morgan,Alabama
52,1105,0.025,0.084,0.087,0.187,0.618,Perry,Alabama
53,1107,0.031,0.06,0.16899999999999998,0.157,0.584,Pickens,Alabama
54,1109,0.06,0.131,0.145,0.33299999999999996,0.33,Pike,Alabama
55,1111,0.158,0.226,0.105,0.14400000000000002,0.368,Randolph,Alabama
56,1113,0.069,0.067,0.08,0.213,0.57,Russell,Alabama
57,1115,0.027000000000000003,0.134,0.14400000000000002,0.2,0.495,St. Clair,Alabama
58,1117,0.022000000000000002,0.075,0.11800000000000001,0.24,0.545,Shelby,Alabama
59,1119,0.055,0.068,0.11800000000000001,0.19699999999999998,0.562,Sumter,Alabama
60,1121,0.113,0.15,0.20800000000000002,0.16899999999999998,0.361,Talladega,Alabama
61,1123,0.067,0.095,0.136,0.29600000000000004,0.406,Tallapoosa,Alabama
62,1125,0.040999999999999995,0.036000000000000004,0.14400000000000002,0.247,0.532,Tuscaloosa,Alabama
63,1127,0.09,0.081,0.145,0.256,0.429,Walker,Alabama
64,1129,0.018000000000000002,0.077,0.102,0.307,0.495,Washington,Alabama
65,1131,0.061,0.098,0.19899999999999998,0.187,0.455,Wilcox,Alabama
66,1133,0.13,0.046,0.32799999999999996,0.183,0.312,Winston,Alabama
67,2013,0.067,0.032,0.034,0.316,0.551,Aleutians East Borough,Alaska
68,2016,0.078,0.031,0.03,0.337,0.524,Aleutians West Census Area,Alaska
69,2020,0.042,0.05,0.049,0.196,0.6629999999999999,Anchorage,Alaska
70,2050,0.10099999999999999,0.022000000000000002,0.013999999999999999,0.45,0.413,Bethel Census Area,Alaska
71,2060,0.048,0.037000000000000005,0.042,0.308,0.564,Bristol Bay Borough,Alaska
72,2068,0.062,0.081,0.067,0.225,0.565,Denali Borough,Alaska
73,2070,0.07200000000000001,0.025,0.027000000000000003,0.391,0.484,Dillingham Census Area,Alaska
74,2090,0.094,0.084,0.175,0.23399999999999999,0.413,Fairbanks North Star Borough,Alaska
75,2100,0.055,0.05,0.12300000000000001,0.419,0.35200000000000004,Haines Borough,Alaska
76,2105,0.051,0.064,0.13,0.39899999999999997,0.35600000000000004,,
77,2110,0.051,0.067,0.133,0.396,0.353,Juneau City and Borough,Alaska
78,2122,0.043,0.047,0.051,0.19699999999999998,0.662,Kenai Peninsula Borough,Alaska
79,2130,0.025,0.149,0.174,0.256,0.396,Ketchikan Gateway Borough,Alaska
80,2150,0.042,0.043,0.049,0.233,0.633,Kodiak Island Borough,Alaska
81,2158,0.10300000000000001,0.022000000000000002,0.006999999999999999,0.521,0.34700000000000003,Kusilvak Census Area,Alaska
82,2164,0.055,0.036000000000000004,0.04,0.299,0.5710000000000001,Lake and Peninsula Borough,Alaska
83,2170,0.042,0.051,0.048,0.198,0.66,Matanuska-Susitna Borough,Alaska
84,2180,0.086,0.061,0.009000000000000001,0.544,0.3,Nome Census Area,Alaska
85,2185,0.036000000000000004,0.059000000000000004,0.235,0.215,0.455,North Slope Borough,Alaska
86,2188,0.035,0.188,0.051,0.474,0.252,Northwest Arctic Borough,Alaska
87,2195,0.042,0.095,0.14800000000000002,0.349,0.365,Petersburg Borough,Alaska
88,2198,0.033,0.125,0.161,0.3,0.38,Prince of Wales-Hyder Census Area,Alaska
89,2220,0.048,0.077,0.13699999999999998,0.381,0.35700000000000004,Sitka City and Borough,Alaska
90,2230,0.057999999999999996,0.038,0.11599999999999999,0.435,0.354,,
91,2240,0.064,0.071,0.14,0.272,0.45299999999999996,Southeast Fairbanks Census Area,Alaska
92,2261,0.04,0.049,0.052000000000000005,0.19699999999999998,0.6629999999999999,Valdez-Cordova Census Area,Alaska
93,2275,0.035,0.11900000000000001,0.16,0.312,0.374,Wrangell City and Borough,Alaska
94,2282,0.047,0.012,0.078,0.381,0.48100000000000004,,
95,2290,0.044000000000000004,0.047,0.126,0.425,0.358,Yukon-Koyukuk Census Area,Alaska
96,4001,0.055,0.063,0.031,0.15,0.701,Apache,Arizona
97,4003,0.053,0.025,0.147,0.19399999999999998,0.581,Cochise,Arizona
98,4005,0.039,0.08,0.07,0.11,0.7020000000000001,Coconino,Arizona
99,4007,0.073,0.013999999999999999,0.03,0.336,0.547,Gila,Arizona
100,4009,0.095,0.067,0.237,0.049,0.5529999999999999,Graham,Arizona
101,4011,0.111,0.08900000000000001,0.16699999999999998,0.08900000000000001,0.544,Greenlee,Arizona
102,4012,0.031,0.064,0.162,0.17300000000000001,0.57,La Paz,Arizona
103,4013,0.023,0.025,0.059000000000000004,0.158,0.7340000000000001,Maricopa,Arizona
104,4015,0.051,0.096,0.10400000000000001,0.16399999999999998,0.585,Mohave,Arizona
105,4017,0.091,0.10800000000000001,0.059000000000000004,0.139,0.602,Navajo,Arizona
106,4019,0.023,0.024,0.073,0.121,0.759,Pima,Arizona
107,4021,0.033,0.055,0.096,0.14800000000000002,0.667,Pinal,Arizona
108,4023,0.027999999999999997,0.002,0.057999999999999996,0.07400000000000001,0.8370000000000001,Santa Cruz,Arizona
109,4025,0.031,0.073,0.081,0.17600000000000002,0.639,Yavapai,Arizona
110,4027,0.008,0.013000000000000001,0.046,0.129,0.804,Yuma,Arizona
111,5001,0.019,0.073,0.134,0.21600000000000003,0.557,Arkansas,Arkansas
112,5003,0.023,0.10300000000000001,0.163,0.11699999999999999,0.595,Ashley,Arkansas
113,5005,0.15,0.10400000000000001,0.10800000000000001,0.10400000000000001,0.534,Baxter,Arkansas
114,5007,0.081,0.034,0.083,0.16,0.643,Benton,Arkansas
115,5009,0.129,0.145,0.122,0.18899999999999997,0.41600000000000004,Boone,Arkansas
116,5011,0.094,0.102,0.175,0.184,0.445,Bradley,Arkansas
117,5013,0.145,0.132,0.10800000000000001,0.21100000000000002,0.40399999999999997,Calhoun,Arkansas
118,5015,0.111,0.068,0.115,0.129,0.5770000000000001,Carroll,Arkansas
119,5017,0.10400000000000001,0.07400000000000001,0.193,0.09699999999999999,0.531,Chicot,Arkansas
120,5019,0.08,0.091,0.08,0.231,0.518,Clark,Arkansas
121,5021,0.08199999999999999,0.124,0.157,0.242,0.395,Clay,Arkansas
122,5023,0.036000000000000004,0.065,0.09300000000000001,0.259,0.546,Cleburne,Arkansas
123,5025,0.107,0.03,0.16,0.231,0.47200000000000003,Cleveland,Arkansas
124,5027,0.24100000000000002,0.07200000000000001,0.054000000000000006,0.25,0.38299999999999995,Columbia,Arkansas
125,5029,0.071,0.12,0.13699999999999998,0.34700000000000003,0.325,Conway,Arkansas
126,5031,0.078,0.12300000000000001,0.138,0.341,0.32,Craighead,Arkansas
127,5033,0.155,0.1,0.16699999999999998,0.21100000000000002,0.36700000000000005,Crawford,Arkansas
128,5035,0.059000000000000004,0.017,0.11,0.306,0.508,Crittenden,Arkansas
129,5037,0.09699999999999999,0.017,0.163,0.319,0.40399999999999997,Cross,Arkansas
130,5039,0.19699999999999998,0.055,0.09300000000000001,0.196,0.45899999999999996,Dallas,Arkansas
131,5041,0.078,0.033,0.19,0.18899999999999997,0.509,Desha,Arkansas
132,5043,0.063,0.049,0.207,0.159,0.523,Drew,Arkansas
133,5045,0.066,0.027000000000000003,0.077,0.40299999999999997,0.426,Faulkner,Arkansas
134,5047,0.149,0.079,0.245,0.187,0.34,Franklin,Arkansas
135,5049,0.105,0.121,0.226,0.19699999999999998,0.35100000000000003,Fulton,Arkansas
136,5051,0.025,0.102,0.068,0.21,0.596,Garland,Arkansas
137,5053,0.08199999999999999,0.043,0.127,0.258,0.489,Grant,Arkansas
138,5055,0.062,0.141,0.154,0.34600000000000003,0.297,Greene,Arkansas
139,5057,0.098,0.073,0.096,0.179,0.5539999999999999,Hempstead,Arkansas
140,5059,0.059000000000000004,0.086,0.079,0.21600000000000003,0.56,Hot Spring,Arkansas
141,5061,0.081,0.07,0.145,0.145,0.56,Howard,Arkansas
142,5063,0.13699999999999998,0.156,0.08800000000000001,0.179,0.44,Independence,Arkansas
143,5065,0.086,0.121,0.133,0.23,0.43,Izard,Arkansas
144,5067,0.11599999999999999,0.10300000000000001,0.135,0.179,0.46799999999999997,Jackson,Arkansas
145,5069,0.042,0.036000000000000004,0.172,0.17300000000000001,0.5770000000000001,Jefferson,Arkansas
146,5071,0.14400000000000002,0.10300000000000001,0.205,0.221,0.32799999999999996,Johnson,Arkansas
147,5073,0.12,0.08199999999999999,0.078,0.23399999999999999,0.486,Lafayette,Arkansas
148,5075,0.085,0.128,0.153,0.298,0.337,Lawrence,Arkansas
149,5077,0.10300000000000001,0.032,0.195,0.263,0.40700000000000003,Lee,Arkansas
150,5079,0.035,0.016,0.19399999999999998,0.201,0.5539999999999999,Lincoln,Arkansas
151,5081,0.07400000000000001,0.121,0.106,0.201,0.499,Little River,Arkansas
152,5083,0.14800000000000002,0.11,0.12,0.14300000000000002,0.479,Logan,Arkansas
153,5085,0.048,0.045,0.136,0.297,0.474,Lonoke,Arkansas
154,5087,0.075,0.08800000000000001,0.159,0.114,0.564,Madison,Arkansas
155,5089,0.171,0.11199999999999999,0.11900000000000001,0.10800000000000001,0.49,Marion,Arkansas
156,5091,0.064,0.124,0.106,0.21899999999999997,0.48700000000000004,Miller,Arkansas
157,5093,0.033,0.109,0.134,0.284,0.44,Mississippi,Arkansas
158,5095,0.068,0.128,0.127,0.271,0.406,Monroe,Arkansas
159,5097,0.081,0.095,0.136,0.166,0.521,Montgomery,Arkansas
160,5099,0.14300000000000002,0.048,0.084,0.22399999999999998,0.501,Nevada,Arkansas
161,5101,0.107,0.14,0.084,0.261,0.408,Newton,Arkansas
162,5103,0.151,0.09699999999999999,0.06,0.242,0.449,Ouachita,Arkansas
163,5105,0.098,0.051,0.08,0.36700000000000005,0.40399999999999997,Perry,Arkansas
164,5107,0.052000000000000005,0.061,0.134,0.276,0.47700000000000004,Phillips,Arkansas
165,5109,0.064,0.061,0.2,0.17600000000000002,0.501,Pike,Arkansas
166,5111,0.077,0.098,0.141,0.287,0.397,Poinsett,Arkansas
167,5113,0.18,0.08,0.217,0.076,0.446,Polk,Arkansas
168,5115,0.08199999999999999,0.151,0.18100000000000002,0.285,0.302,Pope,Arkansas
169,5117,0.062,0.17,0.10300000000000001,0.273,0.391,Prairie,Arkansas
170,5119,0.027999999999999997,0.027000000000000003,0.126,0.175,0.644,Pulaski,Arkansas
171,5121,0.051,0.145,0.203,0.289,0.311,Randolph,Arkansas
172,5123,0.087,0.006999999999999999,0.289,0.267,0.35,St. Francis,Arkansas
173,5125,0.066,0.044000000000000004,0.154,0.212,0.524,Saline,Arkansas
174,5127,0.155,0.14,0.124,0.12300000000000001,0.45799999999999996,Scott,Arkansas
175,5129,0.1,0.08800000000000001,0.125,0.149,0.5379999999999999,Searcy,Arkansas
176,5131,0.121,0.142,0.157,0.20800000000000002,0.37200000000000005,Sebastian,Arkansas
177,5133,0.12,0.09300000000000001,0.155,0.165,0.467,Sevier,Arkansas
178,5135,0.067,0.158,0.22,0.222,0.33299999999999996,Sharp,Arkansas
179,5137,0.067,0.092,0.11,0.23399999999999999,0.498,Stone,Arkansas
180,5139,0.11599999999999999,0.179,0.098,0.262,0.344,Union,Arkansas
181,5141,0.033,0.06,0.096,0.272,0.539,Van Buren,Arkansas
182,5143,0.034,0.027999999999999997,0.10099999999999999,0.18600000000000003,0.6509999999999999,Washington,Arkansas
183,5145,0.026000000000000002,0.054000000000000006,0.152,0.27699999999999997,0.491,White,Arkansas
184,5147,0.059000000000000004,0.048,0.20800000000000002,0.231,0.45399999999999996,Woodruff,Arkansas
185,5149,0.11599999999999999,0.1,0.11199999999999999,0.198,0.474,Yell,Arkansas
186,6001,0.019,0.008,0.055,0.12300000000000001,0.795,Alameda,California
187,6003,0.025,0.085,0.08800000000000001,0.19,0.612,Alpine,California
188,6005,0.045,0.013000000000000001,0.099,0.188,0.655,Amador,California
189,6007,0.015,0.043,0.111,0.204,0.626,Butte,California
190,6009,0.045,0.019,0.098,0.276,0.562,Calaveras,California
191,6011,0.027000000000000003,0.031,0.092,0.151,0.7,Colusa,California
192,6013,0.018000000000000002,0.016,0.039,0.121,0.8059999999999999,Contra Costa,California
193,6015,0.01,0.135,0.11199999999999999,0.196,0.547,Del Norte,California
194,6017,0.027999999999999997,0.042,0.07200000000000001,0.183,0.675,El Dorado,California
195,6019,0.021,0.022000000000000002,0.059000000000000004,0.156,0.741,Fresno,California
196,6021,0.027999999999999997,0.026000000000000002,0.146,0.20600000000000002,0.594,Glenn,California
197,6023,0.042,0.006,0.018000000000000002,0.069,0.865,Humboldt,California
198,6025,0.001,0.005,0.03,0.128,0.836,Imperial,California
199,6027,0.033,0.011000000000000001,0.008,0.057999999999999996,0.889,Inyo,California
200,6029,0.022000000000000002,0.027999999999999997,0.105,0.177,0.6679999999999999,Kern,California
201,6031,0.075,0.016,0.049,0.094,0.7659999999999999,Kings,California
202,6033,0.003,0.004,0.006999999999999999,0.136,0.8490000000000001,Lake,California
203,6035,0.064,0.068,0.162,0.225,0.48200000000000004,Lassen,California
204,6037,0.021,0.013000000000000001,0.049,0.131,0.7859999999999999,Los Angeles,California
205,6039,0.019,0.059000000000000004,0.048,0.124,0.7509999999999999,Madera,California
206,6041,0.011000000000000001,0.0,0.046,0.141,0.802,Marin,California
207,6043,0.01,0.094,0.049,0.18600000000000003,0.6609999999999999,Mariposa,California
208,6045,0.002,0.003,0.004,0.222,0.77,Mendocino,California
209,6047,0.026000000000000002,0.036000000000000004,0.08900000000000001,0.146,0.703,Merced,California
210,6049,0.068,0.019,0.095,0.204,0.615,Modoc,California
211,6051,0.011000000000000001,0.026000000000000002,0.012,0.07,0.88,Mono,California
212,6053,0.023,0.006,0.066,0.141,0.763,Monterey,California
213,6055,0.017,0.026000000000000002,0.033,0.149,0.773,Napa,California
214,6057,0.003,0.054000000000000006,0.084,0.177,0.682,Nevada,California
215,6059,0.023,0.021,0.046,0.156,0.754,Orange,California
216,6061,0.012,0.023,0.07200000000000001,0.201,0.693,Placer,California
217,6063,0.063,0.067,0.053,0.146,0.6709999999999999,Plumas,California
218,6065,0.026000000000000002,0.013999999999999999,0.040999999999999995,0.11599999999999999,0.8029999999999999,Riverside,California
219,6067,0.025,0.027999999999999997,0.062,0.16399999999999998,0.722,Sacramento,California
220,6069,0.018000000000000002,0.004,0.063,0.175,0.7390000000000001,San Benito,California
221,6071,0.027000000000000003,0.022000000000000002,0.048,0.134,0.768,San Bernardino,California
222,6073,0.017,0.023,0.034,0.126,0.8,San Diego,California
223,6075,0.017,0.011000000000000001,0.035,0.121,0.8170000000000001,San Francisco,California
224,6077,0.054000000000000006,0.019,0.081,0.165,0.68,San Joaquin,California
225,6079,0.025,0.024,0.037000000000000005,0.16899999999999998,0.745,San Luis Obispo,California
226,6081,0.016,0.013000000000000001,0.057999999999999996,0.126,0.7859999999999999,San Mateo,California
227,6083,0.015,0.02,0.075,0.153,0.737,Santa Barbara,California
228,6085,0.015,0.013999999999999999,0.04,0.168,0.764,Santa Clara,California
229,6087,0.008,0.0,0.086,0.109,0.797,Santa Cruz,California
