,County,Day1,Day2,Day3,Day4,Day5
0,Oakland,19450,19450,19450,19450,21750
1,Wayne,19450,19450,19450,19450,21750
2,Ingham,3696,3973,4222,4541,4690
3,Kent,10655,10881,10963,11082,11153
4,Montcalm,593,676,763,891,1003
5,St. Clair,1591,1744,1854,1978,2122
6,Washtenaw,4727,4928,5021,5174,5357
7,Macomb,14357,14501,14604,14697,14802
8,Leelanau,260,295,331,407,512
9,Charlevoix,210,233,285,334,450
10,Bay,1495,1576,1757,1901,2054
11,Monroe,2075,2178,2296,2459,2735
12,Ottawa,4025,4251,4485,4659,4946
13,Jackson,3619,3786,4089,4333,4652
14,Otsego,414,463,534,666,791
15,Livingston,1998,2173,2291,2455,2715
16,Clinton,1109,1190,1277,1436,1585
17,Eaton,1109,1190,1273,1436,1585
18,Genesee,5032,5168,5290,5472,5654
19,Midland,1000,1113,1184,1295,1503
20,Berrien,2598,2705,2932,3161,3461
21,Calhoun,1798,1924,2021,2158,2368
22,Clare,260,295,331,407,512
23,Allegan,1289,1351,1451,1654,1833
24,Barry,581,663,748,840,995
25,Saginaw,3842,4081,4333,4579,4721
26,Tuscola,953,1034,1130,1219,1408
27,Wexford,284,319,365,474,586
28,Gladwin,203,222,271,316,403
29,Grand Traverse,893,973,1071,1170,1335
30,Emmet,330,382,439,550,683
31,Roscommon,203,222,271,316,403
32,Chippewa,203,222,271,316,403
33,Kalamazoo,3258,3467,3656,4006,4284
34,Muskegon,3291,3503,3677,4061,4280
35,Newaygo,660,745,821,930,1052
36,Kalkaska,203,222,271,316,403
37,Hillsdale,660,745,821,930,1052
38,Isabella,1140,1212,1287,1438,1639
39,Manistee,203,222,271,316,403
40,Lapeer,1462,1555,1740,1842,2020
41,Unknown,615,663,728,787,875
42,Iosco,411,468,543,680,798
43,Van Buren,1289,1351,1451,1654,1833
44,Lenawee,2111,2297,2415,2663,2942
45,Marquette,652,736,810,917,1043
46,Sanilac,330,366,425,523,628
47,Ionia,827,927,1006,1127,1300
48,Gogebic,380,426,496,584,740
49,Ogemaw,203,222,271,316,403
50,Mecosta,382,445,500,638,781
51,Oceana,963,1045,1139,1219,1408
52,Missaukee,148,172,196,237,311
53,Shiawassee,953,1034,1139,1219,1408
54,Crawford,262,302,339,422,521
55,Cass,953,1045,1139,1219,1408
56,Gratiot,524,567,675,796,920
57,Huron,479,539,618,732,834
58,Osceola,203,222,271,316,403
59,Cheboygan,203,222,271,316,403
60,Delta,510,561,646,796,894
61,Antrim,203,222,271,316,403
62,Houghton,507,553,643,796,894
63,St. Joseph,1289,1351,1451,1654,1833
64,Branch,2071,2173,2291,2455,2731
65,Arenac,203,222,271,316,403
66,Oscoda,143,163,187,211,277
67,Mackinac,143,163,187,211,277
68,Dickinson,203,222,271,316,403
69,Luce,497,542,629,769,885
70,Presque Isle,143,163,187,211,277
71,Mason,330,366,422,519,624
72,Schoolcraft,133,163,187,208,277
73,Menominee,598,683,763,891,1007
74,Alpena,330,366,422,519,624
75,Lake,143,163,187,211,277
76,Montmorency,112,119,147,189,208
77,Alcona,143,163,187,211,277
78,Baraga,95,119,127,192,208
79,Benzie,203,222,271,316,403
80,Iron,143,163,197,211,277
81,Keweenaw,52,61,78,76,133
82,Alger,126,143,177,198,245
83,Ontonagon,143,163,187,211,277
