"","Level","Date","State.FIPS","State.Postal.Code","County.FIPS","County.Name","Population.Staying.at.Home","Population.Not.Staying.at.Home","Number.of.Trips","Number.of.Trips..1","Number.of.Trips.1.3","Number.of.Trips.3.5","Number.of.Trips.5.10","Number.of.Trips.10.25","Number.of.Trips.25.50","Number.of.Trips.50.100","Number.of.Trips.100.250","Number.of.Trips.250.500","Number.of.Trips...500"
"1616907","County",2020-03-01,26,"MI",26001,"Alcona",1541,8821,35150,8279,11275,2372,3088,6339,2057,984,729,0,27
"1616908","County",2020-03-01,26,"MI",26003,"Alger",2435,6662,28046,6759,4719,2859,5546,4394,2177,1051,461,63,17
"1616909","County",2020-03-01,26,"MI",26005,"Allegan",20803,96524,391857,79507,92231,44398,58697,80470,26949,5177,3027,791,610
"1616910","County",2020-03-01,26,"MI",26007,"Alpena",5743,22617,87184,20588,27546,7014,12264,11597,4061,3094,927,33,60
"1616911","County",2020-03-01,26,"MI",26009,"Antrim",4276,19089,83046,15338,22032,8927,13496,14104,6358,1551,992,149,99
"1616912","County",2020-03-01,26,"MI",26011,"Arenac",2699,12342,45925,9064,11054,5730,6209,7208,4383,1150,897,27,203
"1616913","County",2020-03-01,26,"MI",26013,"Baraga",1400,6920,22194,2232,6326,1595,1496,5171,3735,1311,269,48,11
"1616914","County",2020-03-01,26,"MI",26015,"Barry",11470,49687,195138,40654,44515,22959,26209,39208,15235,3350,2141,439,428
"1616915","County",2020-03-01,26,"MI",26017,"Bay",22551,81372,342456,77337,109131,44538,39857,48719,11022,7109,3248,1031,464
"1616916","County",2020-03-01,26,"MI",26019,"Benzie",2550,15203,57041,9484,13595,7485,8243,12613,3515,1097,655,168,186
"1616917","County",2020-03-01,26,"MI",26021,"Berrien",34148,119993,515369,111208,143732,64310,77817,77341,25867,9758,3628,1289,419
"1616918","County",2020-03-01,26,"MI",26023,"Branch",9683,33939,133308,31594,30087,17353,20495,19333,8287,3965,1648,419,127
"1616919","County",2020-03-01,26,"MI",26025,"Calhoun",30458,104029,445288,104253,119089,61646,73275,50693,22998,8280,3668,889,497
"1616920","County",2020-03-01,26,"MI",26027,"Cass",11026,40627,167368,31716,38273,22340,30847,32237,9045,1859,712,204,135
"1616921","County",2020-03-01,26,"MI",26029,"Charlevoix",5744,20500,91151,23208,25687,9659,14673,13283,2101,1624,655,79,182
"1616922","County",2020-03-01,26,"MI",26031,"Cheboygan",5577,19836,80744,16022,19477,8083,13258,15769,5542,1449,856,209,79
"1616923","County",2020-03-01,26,"MI",26033,"Chippewa",8760,28757,115721,30364,34559,12475,9635,18533,5064,2452,2267,215,157
"1616924","County",2020-03-01,26,"MI",26035,"Clare",6667,24090,89439,16831,22124,11643,12329,15024,6603,3302,1179,224,180
