"","county","month","rate"
"1","Alcona","1",8.7
"2","Alcona","2",7.3
"3","Alcona","3",6.8
"4","Alcona","4",24.6
"5","Alcona","5",18.9
"6","Alcona","6",13.7
"7","Alcona","7",9.7
"8","Alger","1",8.8
"9","Alger","2",7.3
"10","Alger","3",7.4
"11","Alger","4",23.6
"12","Alger","5",21.7
"13","Alger","6",19.4
"14","Alger","7",10.1
"15","Allegan","1",3.4
"16","Allegan","2",2.9
"17","Allegan","3",2.9
"18","Allegan","4",22.6
"19","Allegan","5",17
"20","Allegan","6",11.4
"21","Allegan","7",7.6
"22","Alpena","1",5.3
"23","Alpena","2",4.6
"24","Alpena","3",4.4
"25","Alpena","4",18.5
"26","Alpena","5",15.6
"27","Alpena","6",11.2
"28","Alpena","7",8.6
"29","Antrim","1",6.3
"30","Antrim","2",5.6
"31","Antrim","3",5.4
"32","Antrim","4",28.9
"33","Antrim","5",21.5
"34","Antrim","6",13.9
"35","Antrim","7",8.8
"36","Arenac","1",8.6
"37","Arenac","2",7.2
"38","Arenac","3",6.9
"39","Arenac","4",32.1
"40","Arenac","5",23
"41","Arenac","6",15
"42","Arenac","7",10
"43","Baraga","1",7.3
"44","Baraga","2",6
"45","Baraga","3",6.2
"46","Baraga","4",27.7
"47","Baraga","5",23.9
"48","Baraga","6",19.8
"49","Baraga","7",12.9
"50","Barry","1",3.6
"51","Barry","2",3.1
"52","Barry","3",3.2
"53","Barry","4",22
"54","Barry","5",16.4
"55","Barry","6",11.1
"56","Barry","7",7.9
"57","Bay","1",5.5
"58","Bay","2",4.6
"59","Bay","3",4.5
"60","Bay","4",25
"61","Bay","5",19.9
"62","Bay","6",13.7
"63","Bay","7",9.5
"64","Benzie","1",6.9
"65","Benzie","2",5.9
"66","Benzie","3",5.6
"67","Benzie","4",26.3
"68","Benzie","5",18.9
"69","Benzie","6",11.8
"70","Benzie","7",8
"71","Berrien","1",4.5
"72","Berrien","2",3.8
"73","Berrien","3",3.6
"74","Berrien","4",20.4
"75","Berrien","5",18.5
"76","Berrien","6",13.8
"77","Berrien","7",9.9
"78","Branch","1",4
"79","Branch","2",3.3
"80","Branch","3",3.2
"81","Branch","4",22.9
"82","Branch","5",19.2
"83","Branch","6",12.3
"84","Branch","7",8.8
"85","Calhoun","1",4.1
"86","Calhoun","2",3.6
"87","Calhoun","3",3.6
"88","Calhoun","4",24.8
"89","Calhoun","5",22.3
"90","Calhoun","6",15.3
"91","Calhoun","7",10.9
"92","Cass","1",4.6
"93","Cass","2",3.9
"94","Cass","3",3.7
"95","Cass","4",25.1
"96","Cass","5",17
"97","Cass","6",13
"98","Cass","7",10
"99","Charlevoix","1",6
"100","Charlevoix","2",5.2
"101","Charlevoix","3",5
"102","Charlevoix","4",32
"103","Charlevoix","5",23.1
"104","Charlevoix","6",14.2
"105","Charlevoix","7",8.5
"106","Cheboygan","1",16.1
"107","Cheboygan","2",14.3
